Id,Name,Age,Marks
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
49,Deepraj,20,84.7
32,Aryan,20,76.8
43,Bipin,21,79.8
45,Deepak,21,83.3
28,Ansh,21,74.8
